Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc16768_wtmcla,17,14,183,65,110,14,17,10,430,2921,73,40,"[0, 0, 7, 4, 5, 0, 0, 0]","[490, 430]"
mult8_cgp14ep_ep13107_wc16772_wtmcla,28,12,180,68,112,13,3,8,424,2913,78,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 424]"
mult8_cgp14ep_ep13107_wc16936_wtmcla,26,12,180,64,113,13,4,13,425,2906,72,40,"[0, 0, 2, 5, 5, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc16_2_wtmcla,16,7,198,68,107,8,9,5,418,2899,76,34,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep13107_wc16_3_wtmcla,18,6,195,73,106,6,7,6,417,2902,78,36,"[0, 0, 10, 4, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep13107_wc16_4_wtmcla,20,4,191,72,111,7,9,9,423,2901,78,38,"[0, 0, 7, 3, 1, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep13107_wc16_5_wtmcla,19,6,196,67,114,10,6,6,424,2876,80,42,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 424]"
mult8_cgp14ep_ep13107_wc16_wtmcla,25,11,184,67,113,15,6,11,432,2900,77,40,"[0, 0, 10, 5, 1, 0, 0, 0]","[490, 432]"
mult8_cgp14ep_ep13107_wc17024_wtmcla,20,8,187,62,118,7,12,13,427,2882,75,42,"[0, 0, 11, 6, 1, 0, 0, 0]","[490, 427]"
mult8_cgp14ep_ep13107_wc1728_wtmcla,24,11,185,61,111,4,10,11,417,2904,73,42,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep13107_wc17408_2_wtmcla,25,8,180,71,111,15,10,9,429,2891,75,40,"[0, 0, 8, 8, 1, 0, 0, 0]","[490, 429]"
mult8_cgp14ep_ep13107_wc17408_wtmcla,24,10,180,68,117,9,14,10,432,2895,77,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 432]"
mult8_cgp14ep_ep13107_wc17440_wtmcla,20,9,181,66,118,11,11,15,431,2910,76,40,"[0, 0, 9, 6, 1, 0, 0, 0]","[490, 431]"
mult8_cgp14ep_ep13107_wc17664_wtmcla,22,11,186,63,113,9,11,13,428,2898,77,40,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 428]"
mult8_cgp14ep_ep13107_wc176_wtmcla,16,13,185,62,111,7,14,12,420,2892,74,40,"[0, 0, 10, 2, 5, 0, 0, 0]","[490, 420]"
mult8_cgp14ep_ep13107_wc1796_wtmcla,28,16,190,65,106,8,8,10,431,2925,73,42,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 431]"
mult8_cgp14ep_ep13107_wc18240_wtmcla,23,6,182,62,116,11,9,13,422,2894,74,40,"[0, 0, 5, 5, 5, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc1824_wtmcla,16,12,186,66,111,12,8,14,425,2916,72,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc18432_2_wtmcla,26,10,182,64,114,7,8,11,422,2903,77,40,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc18432_wtmcla,32,15,176,63,108,9,13,14,430,2908,76,42,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 430]"
mult8_cgp14ep_ep13107_wc18448_wtmcla,25,14,188,58,114,11,12,7,429,2879,73,44,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 429]"
mult8_cgp14ep_ep13107_wc18464_wtmcla,17,21,179,59,116,5,10,14,421,2896,78,40,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc184_wtmcla,20,12,187,68,104,3,5,14,413,2891,70,38,"[0, 0, 11, 1, 5, 0, 0, 0]","[490, 413]"
mult8_cgp14ep_ep13107_wc18500_wtmcla,30,7,177,64,112,7,17,13,427,2919,74,40,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 427]"
mult8_cgp14ep_ep13107_wc18688_wtmcla,27,13,180,61,112,5,12,9,419,2873,75,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 419]"
mult8_cgp14ep_ep13107_wc18_2_wtmcla,14,9,186,71,110,7,14,6,417,2883,77,34,"[0, 0, 8, 3, 5, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep13107_wc18_3_wtmcla,20,14,187,67,108,3,11,9,419,2895,81,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 419]"
